ConditionName,Outcome,CountryName,Admin1ISO,Date,SourceName,CountValue
COVID-19,Unspecified,UNITED STATES OF AMERICA,US-OK,2020-04-07,"United States Centers for Disease Control and Prevention, COVID-19 Response",85.0
COVID-19,Unspecified,UNITED STATES OF AMERICA,US-OK,2020-04-08,"United States Centers for Disease Control and Prevention, COVID-19 Response",97.0
COVID-19,Unspecified,UNITED STATES OF AMERICA,US-OK,2020-04-09,"United States Centers for Disease Control and Prevention, COVID-19 Response",113.0
COVID-19,Unspecified,UNITED STATES OF AMERICA,US-OK,2020-04-10,"United States Centers for Disease Control and Prevention, COVID-19 Response",96.0
COVID-19,Unspecified,UNITED STATES OF AMERICA,US-OK,2020-04-11,"United States Centers for Disease Control and Prevention, COVID-19 Response",128.0
COVID-19,Unspecified,UNITED STATES OF AMERICA,US-OK,2020-04-12,"United States Centers for Disease Control and Prevention, COVID-19 Response",70.0
COVID-19,Unspecified,UNITED STATES OF AMERICA,US-OK,2020-04-13,"United States Centers for Disease Control and Prevention, COVID-19 Response",45.0
COVID-19,Unspecified,UNITED STATES OF AMERICA,US-OK,2020-04-14,"United States Centers for Disease Control and Prevention, COVID-19 Response",108.0
COVID-19,Unspecified,UNITED STATES OF AMERICA,US-OK,2020-04-15,"United States Centers for Disease Control and Prevention, COVID-19 Response",67.0
COVID-19,Unspecified,UNITED STATES OF AMERICA,US-OK,2020-04-16,"United States Centers for Disease Control and Prevention, COVID-19 Response",90.0
COVID-19,Unspecified,UNITED STATES OF AMERICA,US-OK,2020-04-17,"United States Centers for Disease Control and Prevention, COVID-19 Response",70.0
COVID-19,Unspecified,UNITED STATES OF AMERICA,US-OK,2020-04-18,"United States Centers for Disease Control and Prevention, COVID-19 Response",93.0
COVID-19,Unspecified,UNITED STATES OF AMERICA,US-OK,2020-04-19,"United States Centers for Disease Control and Prevention, COVID-19 Response",89.0
COVID-19,Unspecified,UNITED STATES OF AMERICA,US-OK,2020-04-20,"United States Centers for Disease Control and Prevention, COVID-19 Response",62.0
COVID-19,Unspecified,UNITED STATES OF AMERICA,US-OK,2020-04-21,"United States Centers for Disease Control and Prevention, COVID-19 Response",157.0
COVID-19,Unspecified,UNITED STATES OF AMERICA,US-OK,2020-04-22,"United States Centers for Disease Control and Prevention, COVID-19 Response",81.0
COVID-19,Unspecified,UNITED STATES OF AMERICA,US-OK,2020-04-23,"United States Centers for Disease Control and Prevention, COVID-19 Response",87.0
COVID-19,Unspecified,UNITED STATES OF AMERICA,US-OK,2020-04-24,"United States Centers for Disease Control and Prevention, COVID-19 Response",89.0
COVID-19,Unspecified,UNITED STATES OF AMERICA,US-OK,2020-04-25,"United States Centers for Disease Control and Prevention, COVID-19 Response",102.0
