ConditionName,Outcome,CountryName,Date,SourceName,CountValue
COVID-19,Unspecified,UNITED STATES OF AMERICA,2020-07-09,World Health Organization COVID-19 Dashboard,56077.0
COVID-19,Unspecified,UNITED STATES OF AMERICA,2020-07-10,World Health Organization COVID-19 Dashboard,65092.0
COVID-19,Unspecified,UNITED STATES OF AMERICA,2020-07-11,World Health Organization COVID-19 Dashboard,62184.0
COVID-19,Unspecified,UNITED STATES OF AMERICA,2020-07-12,World Health Organization COVID-19 Dashboard,68300.0
COVID-19,Unspecified,UNITED STATES OF AMERICA,2020-07-13,World Health Organization COVID-19 Dashboard,67314.0
COVID-19,Unspecified,UNITED STATES OF AMERICA,2020-07-14,World Health Organization COVID-19 Dashboard,59628.0
COVID-19,Unspecified,UNITED STATES OF AMERICA,2020-07-15,World Health Organization COVID-19 Dashboard,56130.0
COVID-19,Unspecified,UNITED STATES OF AMERICA,2020-07-16,World Health Organization COVID-19 Dashboard,64758.0
COVID-19,Unspecified,UNITED STATES OF AMERICA,2020-07-17,World Health Organization COVID-19 Dashboard,72033.0
COVID-19,Unspecified,UNITED STATES OF AMERICA,2020-07-18,World Health Organization COVID-19 Dashboard,69530.0
COVID-19,Unspecified,UNITED STATES OF AMERICA,2020-07-19,World Health Organization COVID-19 Dashboard,76837.0
COVID-19,Unspecified,UNITED STATES OF AMERICA,2020-07-20,World Health Organization COVID-19 Dashboard,67354.0
COVID-19,Unspecified,UNITED STATES OF AMERICA,2020-07-21,World Health Organization COVID-19 Dashboard,59792.0
COVID-19,Unspecified,UNITED STATES OF AMERICA,2020-07-22,World Health Organization COVID-19 Dashboard,58523.0
COVID-19,Unspecified,UNITED STATES OF AMERICA,2020-07-23,World Health Organization COVID-19 Dashboard,63394.0
COVID-19,Unspecified,UNITED STATES OF AMERICA,2020-07-24,World Health Organization COVID-19 Dashboard,72144.0
COVID-19,Unspecified,UNITED STATES OF AMERICA,2020-07-25,World Health Organization COVID-19 Dashboard,73456.0
COVID-19,Unspecified,UNITED STATES OF AMERICA,2020-07-26,World Health Organization COVID-19 Dashboard,73154.0
COVID-19,Unspecified,UNITED STATES OF AMERICA,2020-07-27,World Health Organization COVID-19 Dashboard,61281.0
COVID-19,Unspecified,UNITED STATES OF AMERICA,2020-07-28,World Health Organization COVID-19 Dashboard,58279.0
COVID-19,Unspecified,UNITED STATES OF AMERICA,2020-07-29,World Health Organization COVID-19 Dashboard,53479.0
COVID-19,Unspecified,UNITED STATES OF AMERICA,2020-07-30,World Health Organization COVID-19 Dashboard,58851.0
COVID-19,Unspecified,UNITED STATES OF AMERICA,2020-07-31,World Health Organization COVID-19 Dashboard,64738.0
COVID-19,Unspecified,UNITED STATES OF AMERICA,2020-08-01,World Health Organization COVID-19 Dashboard,66211.0
COVID-19,Unspecified,UNITED STATES OF AMERICA,2020-08-02,World Health Organization COVID-19 Dashboard,68114.0
COVID-19,Unspecified,UNITED STATES OF AMERICA,2020-08-03,World Health Organization COVID-19 Dashboard,56528.0
COVID-19,Unspecified,UNITED STATES OF AMERICA,2020-08-04,World Health Organization COVID-19 Dashboard,51154.0
COVID-19,Unspecified,UNITED STATES OF AMERICA,2020-08-05,World Health Organization COVID-19 Dashboard,45179.0
COVID-19,Unspecified,UNITED STATES OF AMERICA,2020-08-06,World Health Organization COVID-19 Dashboard,51708.0
COVID-19,Unspecified,UNITED STATES OF AMERICA,2020-08-07,World Health Organization COVID-19 Dashboard,55630.0
COVID-19,Unspecified,UNITED STATES OF AMERICA,2020-08-08,World Health Organization COVID-19 Dashboard,54376.0
COVID-19,Unspecified,UNITED STATES OF AMERICA,2020-08-09,World Health Organization COVID-19 Dashboard,61855.0
COVID-19,Unspecified,UNITED STATES OF AMERICA,2020-08-10,World Health Organization COVID-19 Dashboard,51253.0
COVID-19,Unspecified,UNITED STATES OF AMERICA,2020-08-11,World Health Organization COVID-19 Dashboard,46234.0
